Rank,Influencer,Category,Followers,Country,Eng. (Auth.),Eng. (Avg.)
1,Jennifer Lopez,MusicCinema & Actors/actresses,252.4M,United States,517.4K,672.4K
2,Vin Diesel,Cinema & Actors/actresses,101.1M,United States,458.8K,559.3K
3,Jude Bellingham,LifestyleSports with a ball,18.9M,United Kingdom,796.1K,2.1M
4,Burak Özdemir,Food & Cooking,54.1M,Turkey,385.8K,496.7K
5,Emily Ratajkowski,Modeling,30.3M,United States,483.4K,617.3K
6,Conor McGregor Official,Fitness & Gym,46.8M,United States,246.8K,326.8K
7,Enzo Zelocchi,Cinema & Actors/actresses,14.4M,India,571.6K,922.2K
8,Hannah Stocking,Modeling,25.9M,United States,353.1K,473.1K
9,VLADIMIR1 & mr ANATOLY,Fitness & Gym,10.1M,Russia,842.9K,1.1M
10,hakki akdeniz,Business & Careers,30.5M,Turkey,227.4K,329.7K
11,Otabek Umarov,,26.4M,Russia,178.9K,304.2K
12,Mark Pugachev,Cars & MotorbikesLuxury,19.6M,Russia,271.1K,398.5K
13,Тамаев Асхаб,Fitness & Gym,13.1M,Russia,408.6K,577.7K
14,Snejana Onopka,Modeling,14.8M,Brazil,377.3K,448.3K
15,Neslihan Atagül Doğulu,Cinema & Actors/actressesModeling,14.2M,Turkey,312.6K,392.5K
16,Джейран Касымова,Family,7M,India,615K,775.8K
17,ARAIK GALSTYAN,Beauty,22M,Russia,182.5K,235.7K
18,Fahriye Evcen Özçivit,LifestyleBeauty,13.7M,Turkey,288.2K,365.3K
19,Adam Weitsman,Business & Careers,19.6M,Kazakhstan,177.2K,216.9K
20,Leonardo DiCaprio,Cinema & Actors/actresses,61.6M,United States,53.8K,69.2K
21,Rakhim,Shows,6.2M,Russia,494.6K,663.3K
22,Kashika Kapoor,BeautyLifestyleCinema & Actors/actresses,15.7M,India,142.1K,254K
23,irina shayk,Modeling,23.2M,Russia,135.1K,165.1K
24,Larissa Manoela,Cinema & Actors/actresses,53M,Brazil,40.4K,67.7K
25,Dmitriy Shelengovskiy,Art/Artists,13.7M,United States,228.2K,252.9K
26,Rosie HW,Modeling,19.5M,United States,135.4K,173.8K
27,Tata Werneck,Cinema & Actors/actressesFamily,56.8M,Brazil,38K,59.1K
28,Elton ILIRJANI,Adult content,11.8M,Brazil,190.7K,274.9K
29,Jas Mathur,Business & CareersManagement & Marketing,12.1M,United States,117.4K,208.7K
30,Jean-Claude Van Damme,Cinema & Actors/actresses,7.9M,United States,235.1K,293.2K
31,Брайн Мапс (Макс Тарасенко),,5.9M,Russia,289.5K,345.6K
32,Christopher McGinnis,,10.2M,United States,90.9K,191.4K
33,UFC,Extreme Sports & Outdoor activityShows,38.1M,United States,32.7K,46.8K
34,❥ Khalid Rafiq 👑💫,Lifestyle,4.1M,Russia,219.8K,437.8K
35,BMW,Cars & Motorbikes,37.6M,United States,36.6K,45.7K
36,Khvicha Kvaratskhelia,,3.6M,Russia,343.4K,472.7K
37,Dior Official,FashionClothing & OutfitsAccessories & Jewellery,45.3M,United States,29.6K,36.4K
38,Islam_Makhachev,Fitness & Gym,6.8M,Russia,184.9K,235.7K
39,Nazar Babenko,,12.3M,Ukraine,94.1K,117.7K
40,Liubava Rose ❤️🌹,Nature & landscapesLifestyleTravel,5.8M,India,161.9K,254.1K
41,Ekaterina Gorodnicheva,TravelLifestyle,6.4M,Russia,213.4K,223.3K
42,Nurtaza Nurbek,Humor & Fun & HappinessFamily,6.5M,Kazakhstan,153.7K,216.9K
43,Abduroziq Official,MusicShows,8.3M,Tajikistan,128.9K,159.9K
44,КЛАВА КОКА | Black Star,Music,8.1M,Russia,141.7K,161.6K
45,ANDREY BATT,,10.8M,Russia,106.3K,119.3K
46,Julia Roberts,Cinema & Actors/actresses,11.4M,United States,80.5K,103.7K
47,Елена Сажина,Cinema & Actors/actresses,10.2M,Russia,30.3K,113.6K
48,Иван Ургант,ShowsCinema & Actors/actresses,11.8M,Russia,84.9K,96.3K
49,Mercedes-Benz,Cars & MotorbikesLuxury,37.9M,United States,2.1K,29.5K
50,Cameron Diaz,Cinema & Actors/actresses,11.7M,United States,76.3K,94K
